chapter_id,part_number,chapter_number,title,title_tsv
1,1,1,u Overview of Pediatrics,of overview pediatrics u
2,1,1,u Overview of Pediatrics,of overview pediatrics u
3,1,1,u Overview of Pediatrics,of overview pediatrics u
4,1,2,u Child Health Disparities,child disparities health u
5,1,2,u Child Health Disparities 11,11 child disparities health u
6,1,2,u Child Health Disparities 13,13 child disparities health u
7,1,2,u Child Health Disparities 15,15 child disparities health u
8,1,2,u Child Health Disparities 17,17 child disparities health u
9,1,2,u Child Health Disparities 19,19 child disparities health u
10,1,2,u Child Health Disparities 21,21 child disparities health u
11,1,3,u Global Child Health,child global health u
12,1,3,u Global Child Health,child global health u
13,1,3,u Global Child Health,child global health u
14,1,3,u Global Child Health,child global health u
15,1,3,u Global Child Health,child global health u
16,1,3,u Global Child Health,child global health u
17,1,3,u Global Child Health,child global health u
18,1,4,u Quality and Value in Healthcare for Children,and children for healthcare in quality u value
19,1,4,u Quality and Value in Healthcare for Children,and children for healthcare in quality u value
20,1,4,u Quality and Value in Healthcare for Children,and children for healthcare in quality u value
21,1,5,u Safety in Healthcare for Children,children for healthcare in safety u
22,1,5,u Safety in Healthcare for Children,children for healthcare in safety u
23,1,5,u Safety in Healthcare for Children,children for healthcare in safety u
24,1,5,u Safety in Healthcare for Children,children for healthcare in safety u
25,1,6,u Ethics in Pediatric Care,care ethics in pediatric u
26,1,6,u Ethics in Pediatric Care,care ethics in pediatric u
27,1,6,u Ethics in Pediatric Care,care ethics in pediatric u
28,1,7,u Complementary Therapies and Integrative Medicine,and complementary integrative medicine therapies u
29,1,8,u Pediatric Palliative Care,care palliative pediatric u
30,1,8,u Pediatric Palliative Care,care palliative pediatric u
31,1,8,u Pediatric Palliative Care,care palliative pediatric u
32,1,8,u Pediatric Palliative Care,care palliative pediatric u
33,1,8,u Pediatric Palliative Care,care palliative pediatric u
34,1,8,u Pediatric Palliative Care,care palliative pediatric u
35,1,8,u Pediatric Palliative Care,care palliative pediatric u
36,1,9,u Domestic and International Adoption 73,73 adoption and domestic international u
37,1,10,u Foster and Kinship Care,and care foster kinship u
38,1,10,u Foster and Kinship Care,and care foster kinship u
39,1,11,u Medical Evaluation of the Foreign-­Born Child,born child evaluation foreign medical of the u
40,1,12,u Cultural Issues in Pediatric Care,care cultural in issues pediatric u
41,1,12,u Cultural Issues in Pediatric Care,care cultural in issues pediatric u
42,1,13,"u Maximizing Children’s Health: Screening, ­Anticipatory Guidance, and Counseling",and anticipatory children counseling guidance health maximizing s screening u
43,1,13,"u Maximizing Children’s Health: Screening, ­Anticipatory Guidance, and Counseling",and anticipatory children counseling guidance health maximizing s screening u
44,1,14,u Injury Control 91,91 control injury u
45,1,14,u Injury Control 93,93 control injury u
46,1,14,u Injury Control 95,95 control injury u
47,1,14,u Injury Control 97,97 control injury u
48,1,15,u Impact of Violence Exposure on Children,children exposure impact of on u violence
49,1,15,u Impact of Violence Exposure on Children,children exposure impact of on u violence
50,1,15,u Impact of Violence Exposure on Children,children exposure impact of on u violence
51,1,15,u Impact of Violence Exposure on Children,children exposure impact of on u violence
52,1,15,u Impact of Violence Exposure on Children,children exposure impact of on u violence
53,1,15,u Impact of Violence Exposure on Children,children exposure impact of on u violence
54,1,16,u Child Trafficking for Sex and Labor 111,111 and child for labor sex trafficking u
55,1,16,u Child Trafficking for Sex and Labor 113,113 and child for labor sex trafficking u
56,1,17,u Abused and Neglected Children,abused and children neglected u
57,1,17,u Abused and Neglected Children,abused and children neglected u
58,1,17,u Abused and Neglected Children,abused and children neglected u
59,1,17,u Abused and Neglected Children,abused and children neglected u
60,1,17,u Abused and Neglected Children,abused and children neglected u
61,1,17,u Abused and Neglected Children,abused and children neglected u
62,1,17,u Abused and Neglected Children,abused and children neglected u
63,1,18,u Strategies for Health Behavior Change,behavior change for health strategies u
64,1,18,u Strategies for Health Behavior Change,behavior change for health strategies u
65,1,18,u Strategies for Health Behavior Change,behavior change for health strategies u
66,1,18,u Strategies for Health Behavior Change,behavior change for health strategies u
67,1,19,u Developmental and Behavioral Theories,and behavioral developmental theories u
68,1,19,u Developmental and Behavioral Theories,and behavioral developmental theories u
69,1,19,u Developmental and Behavioral Theories,and behavioral developmental theories u
70,1,20,u Positive Parenting and Support,and parenting positive support u
71,1,20,u Positive Parenting and Support,and parenting positive support u
72,1,21,u Assessment of Fetal Growth and Development,and assessment development fetal growth of u
73,1,22,u The Newborn,newborn the u
74,1,23,u The First Year,first the u year
75,1,23,u The First Year,first the u year
76,1,23,u The First Year,first the u year
77,1,23,u The First Year,first the u year
78,1,24,u The Second Year,second the u year
79,1,24,u The Second Year,second the u year
80,1,24,u The Second Year,second the u year
81,1,25,u The Preschool Years,preschool the u years
82,1,26,u Middle Childhood,childhood middle u
83,1,26,u Middle Childhood,childhood middle u
84,1,26,u Middle Childhood,childhood middle u
85,1,27,u Assessment of Growth,assessment growth of u
86,1,27,u Assessment of Growth,assessment growth of u
87,1,27,u Assessment of Growth,assessment growth of u
88,1,28,u Developmental and Behavioral Surveillance and Screening,and behavioral developmental screening surveillance u
89,1,28,u Developmental and Behavioral Surveillance and Screening,and behavioral developmental screening surveillance u
90,1,29,u Child Care,care child u
91,1,29,u Child Care,care child u
92,1,29,u Child Care,care child u
93,1,29,u Child Care,care child u
94,1,29,u Child Care,care child u
95,1,29,u Child Care,care child u
96,1,30,"u Loss, Separation, and Bereavement",and bereavement loss separation u
97,1,30,"u Loss, Separation, and Bereavement",and bereavement loss separation u
98,1,30,"u Loss, Separation, and Bereavement",and bereavement loss separation u
99,1,31,u Sleep Medicine,medicine sleep u
100,1,31,u Sleep Medicine,medicine sleep u
101,1,31,u Sleep Medicine,medicine sleep u
102,1,31,u Sleep Medicine,medicine sleep u
103,1,31,u Sleep Medicine,medicine sleep u
104,1,31,u Sleep Medicine,medicine sleep u
105,1,31,u Sleep Medicine,medicine sleep u
106,1,31,u Sleep Medicine,medicine sleep u
107,1,32,u Psychosocial Assessment and Psychiatric Diagnostic Evaluation,and assessment diagnostic evaluation psychiatric psychosocial u
108,1,32,u Psychosocial Assessment and Psychiatric Diagnostic Evaluation,and assessment diagnostic evaluation psychiatric psychosocial u
109,1,32,u Psychosocial Assessment and Psychiatric Diagnostic Evaluation,and assessment diagnostic evaluation psychiatric psychosocial u
110,1,33,u Psychopharmacology 223,223 psychopharmacology u
111,1,33,u Psychopharmacology 225,225 psychopharmacology u
112,1,33,u Psychopharmacology 227,227 psychopharmacology u
113,1,33,u Psychopharmacology 229,229 psychopharmacology u
114,1,34,u Psychotherapy,psychotherapy u
115,1,34,u Psychotherapy,psychotherapy u
116,1,35,u Somatic Symptom and Related Disorders,and disorders related somatic symptom u
117,1,35,u Somatic Symptom and Related Disorders,and disorders related somatic symptom u
118,1,35,u Somatic Symptom and Related Disorders,and disorders related somatic symptom u
119,1,37,u Motor Disorders and Habits,and disorders habits motor u
120,1,37,u Motor Disorders and Habits,and disorders habits motor u
121,1,37,u Motor Disorders and Habits,and disorders habits motor u
122,1,38,"u Anxiety Disorders, Obsessive-­Compulsive Disorder, and Post­traumatic Stress Disorder",and anxiety compulsive disorder disorders obsessive post stress traumatic u
123,1,38,"u Anxiety Disorders, Obsessive-­Compulsive Disorder, and Post­traumatic Stress Disorder",and anxiety compulsive disorder disorders obsessive post stress traumatic u
124,1,38,"u Anxiety Disorders, Obsessive-­Compulsive Disorder, and Post­traumatic Stress Disorder",and anxiety compulsive disorder disorders obsessive post stress traumatic u
125,1,38,"u Anxiety Disorders, Obsessive-­Compulsive Disorder, and Post­traumatic Stress Disorder",and anxiety compulsive disorder disorders obsessive post stress traumatic u
126,1,39,u Mood Disorders,disorders mood u
127,1,39,u Mood Disorders,disorders mood u
128,1,39,u Mood Disorders,disorders mood u
129,1,39,u Mood Disorders,disorders mood u
130,1,40,u Suicide and Attempted Suicide,and attempted suicide u
131,1,40,u Suicide and Attempted Suicide,and attempted suicide u
132,1,40,u Suicide and Attempted Suicide,and attempted suicide u
133,1,41,u Eating Disorders,disorders eating u
134,1,41,u Eating Disorders,disorders eating u
135,1,41,u Eating Disorders,disorders eating u
136,1,41,u Eating Disorders,disorders eating u
137,1,42,"u Disruptive, Impulse-­Control, and Conduct Disorders",and conduct control disorders disruptive impulse u
138,1,42,"u Disruptive, Impulse-­Control, and Conduct Disorders",and conduct control disorders disruptive impulse u
139,1,43,u Tantrums and Breath-­Holding Spells,and breath holding spells tantrums u
140,1,46,u Self-Injurious Behavior,behavior injurious self u
141,1,46,u Self-Injurious Behavior,behavior injurious self u
142,1,47,u Childhood Psychoses,childhood psychoses u
143,1,47,u Childhood Psychoses,childhood psychoses u
144,1,47,u Childhood Psychoses,childhood psychoses u
145,1,47,u Childhood Psychoses,childhood psychoses u
146,1,47,u Childhood Psychoses,childhood psychoses u
147,1,48,u Delirium,delirium u
148,1,48,u Delirium,delirium u
149,1,48,u Delirium,delirium u
150,1,49,u Neurodevelopmental and Executive Function and Dysfunction,and dysfunction executive function neurodevelopmental u
151,1,49,u Neurodevelopmental and Executive Function and Dysfunction,and dysfunction executive function neurodevelopmental u
152,1,49,u Neurodevelopmental and Executive Function and Dysfunction,and dysfunction executive function neurodevelopmental u
153,1,49,u Neurodevelopmental and Executive Function and Dysfunction,and dysfunction executive function neurodevelopmental u
154,1,50,u Attention-­Deficit/­Hyperactivity Disorder,attention deficit disorder hyperactivity u
155,1,50,u Attention-­Deficit/­Hyperactivity Disorder,attention deficit disorder hyperactivity u
156,1,50,u Attention-­Deficit/­Hyperactivity Disorder,attention deficit disorder hyperactivity u
157,1,50,u Attention-­Deficit/­Hyperactivity Disorder,attention deficit disorder hyperactivity u
158,1,51,u Dyslexia,dyslexia u
159,1,51,u Dyslexia,dyslexia u
160,1,52,u Math and Writing Disabilities,and disabilities math u writing
161,1,52,u Math and Writing Disabilities,and disabilities math u writing
162,1,52,u Math and Writing Disabilities,and disabilities math u writing
163,1,53,u Language Development and Communication Disorders,and communication development disorders language u
164,1,53,u Language Development and Communication Disorders,and communication development disorders language u
165,1,53,u Language Development and Communication Disorders,and communication development disorders language u
166,1,53,u Language Development and Communication Disorders,and communication development disorders language u
167,1,53,u Language Development and Communication Disorders,and communication development disorders language u
168,1,53,u Language Development and Communication Disorders,and communication development disorders language u
169,1,54,u Augmentative and Alternative Communication,alternative and augmentative communication u
170,1,55,u Outcomes Among Infants and Children Who Are Deaf/Hard of Hearing,among and are children deaf hard hearing infants of outcomes u who
171,1,55,u Outcomes Among Infants and Children Who Are Deaf/Hard of Hearing,among and are children deaf hard hearing infants of outcomes u who
172,1,55,u Outcomes Among Infants and Children Who Are Deaf/Hard of Hearing,among and are children deaf hard hearing infants of outcomes u who
173,1,55,u Outcomes Among Infants and Children Who Are Deaf/Hard of Hearing,among and are children deaf hard hearing infants of outcomes u who
174,1,56,u Developmental Delay and Intellectual Disability,and delay developmental disability intellectual u
175,1,56,u Developmental Delay and Intellectual Disability,and delay developmental disability intellectual u
176,1,56,u Developmental Delay and Intellectual Disability,and delay developmental disability intellectual u
177,1,56,u Developmental Delay and Intellectual Disability,and delay developmental disability intellectual u
178,1,56,u Developmental Delay and Intellectual Disability,and delay developmental disability intellectual u
179,1,56,u Developmental Delay and Intellectual Disability,and delay developmental disability intellectual u
180,1,56,u Developmental Delay and Intellectual Disability,and delay developmental disability intellectual u
181,1,56,u Developmental Delay and Intellectual Disability,and delay developmental disability intellectual u
182,1,57,u Down Syndrome and Other Abnormalities of Chromosome Number,abnormalities and chromosome down number of other syndrome u
183,1,57,u Down Syndrome and Other Abnormalities of Chromosome Number,abnormalities and chromosome down number of other syndrome u
184,1,57,u Down Syndrome and Other Abnormalities of Chromosome Number,abnormalities and chromosome down number of other syndrome u
