section_id,chapter_id,section_number,title,title_tsv
1,4,2.3,and Chapter 1). Allostasis refers to the normal physiologic changes,1 allostasis and changes chapter normal physiologic refers the to
2,7,2.1,Racism and Child Health,and child health racism
3,7,7.68,"deaths/1,000 live births, has remained essentially unchanged for",000 1 births deaths essentially for has live remained unchanged
4,8,3.9,for Asians only; 9.4 for,4 9 asians for only
5,8,15.4,for Asians only; 48.1,1 48 asians for only
6,8,82.0,for Asian alone; 161.4,161 4 alone asian for
7,11,3.2,for neonatal and child health: All-­cause and cause-­specific mortality findings from the Global Burden of Disease Study 2019. Lancet.,2019 all and burden cause child disease findings for from global health lancet mortality neonatal of specific study the
8,12,3.4,and 3.5). Growth of economies during the first half of the 20th,20th 3 5 and during economies first growth half of the
9,12,2.77,pediatric deaths/1 million children in LMICs compared to 1.32/,1 32 children compared deaths in lmics million pediatric to
10,20,3.0,model uses the concept of the “patient journey” to describe a,a concept describe journey model of patient the to uses
11,22,5.2,describes proximal metrics to arrest and the types of code events used,and arrest code describes events metrics of proximal the to types used
12,32,0.5,"mg/kg (15-­30 mg) IV q6h, max 24h dose 120",120 15 24h 30 dose iv kg max mg q6h
13,32,0.3,mg/kg PO q4h if <50 kg,50 if kg mg po q4h
14,32,0.1,mg/kg PO q4h if <50 kg,50 if kg mg po q4h
15,32,0.05,mg/kg PO q4h if <50 kg,50 if kg mg po q4h
16,32,0.015,mg/kg IV q2-­4h,4h iv kg mg q2
17,32,0.5,mg/kg PO at bedtime (max 150 mg/day).,150 at bedtime day kg max mg po
18,32,0.1,mg/kg PO q4h prn*†,kg mg po prn q4h
19,32,1.5,"mg patch, change q72h (for children >8-­12 yr",12 8 change children for mg patch q72h yr
20,33,0.15,mg/kg dose IV/PO q8h prn. No single IV,dose iv kg mg no po prn q8h single
21,33,0.1,mg/kg/dose tid PO/IV; max dose 10 mg/day,10 day dose iv kg max mg po tid
22,33,0.01,mg/kg PO tid prn for acute onset:,acute for kg mg onset po prn tid
23,33,0.025,mg/kg in 1 hr prn,1 hr in kg mg prn
24,33,0.3,"mg/kg/dose (2.5-­5 mg) titrated as needed, up",2 5 as dose kg mg needed titrated up
25,33,0.02,mg/kg (1.5 mg) IV q6h PRN,1 5 iv kg mg prn q6h
26,33,0.1,mg/kg IV/PO/SL/PR repeat q10min × 2,2 iv kg mg po pr q10min repeat sl
27,33,0.1,mg/kg IV/PO q6h (max 5 mg/dose if <5 yr;,5 dose if iv kg max mg po q6h yr
28,39,11.1,"list suggested screening tests for infectious diseases for international adoptees or immigrants/refugees, respectively. Table 11.2 lists",11 2 adoptees diseases for immigrants infectious international list lists or refugees respectively screening suggested table tests
29,49,15.1,"Bullying, Cyberbullying, and School",and bullying cyberbullying school
30,49,15.2,Media Violence,media violence
31,51,15.3,Effects of War on Children,children effects of on war
32,59,17.1,Sexual Abuse,abuse sexual
33,62,17.2,Factitious Disorder ­Imposed on,disorder factitious imposed on
34,69,94.9,102.0,0 102
35,71,20.3,"and 20.4) (see Chapters 25 and 26). In addition, parents should",20 25 26 4 addition and chapters in parents see should
36,76,23.1,Infant Crying and Colic,and colic crying infant
37,111,52.3,mg/10.4 mg),10 4 mg
38,111,26.1,/5.2,2 5
39,111,26.1,/5.2-52.3/10.4,10 2 3 4 5 52
